Z,,Master plan,PRODSECTOR,AREATYPE,AREATYPE2,UPC_PRECIN,PRECINCT_,HH,POP_NONLAB,WORKER,STUDENT,LABOURER,POP_TOT,HOTELROOMS,RES_GFA,RETAIL_GFA,OFFICE_GFA,L_IND_GFA,M_IND_GFA,H_IND_GFA,SCHOOL_GFA,MED_GFA,OTHER_GFA,CONS_SITE,RETGEN_PRO,RETMAL_PRO,MEDCLI_PRO,MEDHOS_PRO,NONTER_PRO,TER_PRO,SCHPLCS_NT,SCHPLCS_TE,SCHPLCS_PR,SCHPLCS_SE,SECT_DST,SECT_FRT,SECT_EXT,SECT_REP,SECT_REPMS,METRO_AREA,SHAPEAREA,CENTROIDX,CENTROIDY,PARK_SEC,URBAN_RURA,LAB_CON_P,LAB_OTH_P,LAB_IND_P,IND_AREA,PROP_INT_L,PROP_INT_W,PROP_INT_O,SECT_BAL,SECT_INT,REG,TOD_A,TOD_P,HGV_PERMIT,ADSICDIST,DISTNAME,TMP,UDM_DIST,MP_ProjectID
1,ADM,MP,2,9,11,28,Saadiyat Island,283,2150,575,806,0,2150,0,155745,240,0,0,0,0,0,0,1900,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,1,241406,2715675,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
2,ADM,MP,2,9,11,28,Saadiyat Island,168,1283,503,484,0,1283,0,195190,1684,0,0,0,0,16352,0,3755,0,100,0,100,0,80,20,1139,286,759,380,2,1,0,4,1,1,0,241799,2713803,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
3,ADM,MP,2,3,11,28,Saadiyat Island,19,47,28,10,0,47,0,2757,0,3521,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,242455,2713184,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.0
4,ADM,MP,2,1,11,28,Saadiyat Island,411,1255,690,502,0,1255,0,56000,1835,0,0,0,0,13000,0,9153,0,100,0,100,0,100,0,2300,0,1265,1035,2,1,0,4,1,1,0,240757,2714060,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
5,ADM,MP,2,9,11,28,Saadiyat Island,146,1115,296,416,0,1115,0,82071,79,0,0,0,0,0,0,744,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,241561,2715070,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
6,ADM,MP,2,3,11,28,Saadiyat Island,102,255,153,56,0,255,0,15259,885,0,0,0,0,9136,0,747,0,100,0,100,0,100,0,643,0,283,360,2,1,0,4,1,1,0,241824,2713467,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.0
7,ADM,MP,2,3,11,28,Saadiyat Island,309,774,464,170,0,774,0,45847,3220,0,0,0,0,21090,1186,3586,0,100,0,100,0,100,0,1487,0,654,833,2,1,0,4,1,1,0,241247,2713440,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
8,ADM,MP,2,1,11,28,Saadiyat Island,820,3757,1852,1521,0,3757,0,165849,100,0,0,0,0,12000,0,1213,0,100,0,100,0,100,0,1521,0,747,774,2,1,0,4,1,1,0,240910,2714552,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.1
9,ADM,MP,2,3,11,28,Saadiyat Island,49,123,74,27,0,123,0,7179,968,6478,0,0,0,0,0,464,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,242424,2712811,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
10,ADM,MP,2,9,11,28,Saadiyat Island,228,1734,460,651,0,1734,0,127553,120,0,0,0,0,0,0,1155,1,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,241331,2714726,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
