ID,Municipality,ProjectID,Include in Summary,Project Name,Parent Project Number,MP Lvl,Developer,District,2024Precinct,Pr_Order,2014 Precinct,Stage Name,Approved,Approval Year,Total GFA,Residential Population,Residential Units,Apt,Villa,Residential GFA,Retail GFA,Office GFA,Hotel GFA,Community Facilities GFA,Industrial GFA,Other GFA,Education GFA,Health Care GFA,Other_CF,Approved Completion Year,Notes,EH,Un allocated Villa Plots,Phasing_Note,Planning Status,Delivery Status,Major,Link,Updated,TMP TAZs,TAZ_Mapping_Remarks,POP NONLAB,RES GFA,RETAIL GFA,OFFICE GFA,TMP Aligned,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Check,2040_Assignment
1,Abu Dhabi,1099.0,No,Reem Island,,Level 0,Multiple,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Island Wide MP,Yes,,19357744,236923,103199,101495,1704,15151545,917843,1376732,1186931,724693,0,0,,,,NA,Summation of All Approved Sub Master Plans,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
2,Abu Dhabi,1072.0,Yes,"Shams, Reem Island",1099.0,Level 1,Aldar,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment (1),Yes,2018,5072548,65258,29663,29663,,3950427,194838,387832,353419,186032,0,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,47,,65242,3950422,175856,387832,Yes,,,,,,,,,,,,,,,,,0.8,0.8,0.8
3,Abu Dhabi,1089.56,Yes,Tamouh sector 4,1099.0,Level 1,Q Properties,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment (2),Yes,2023,2456838,27782,12616,12616,0,2073705,120525,33892,162653,66063,0,0,,,,2033,,,,Partially Delivered,Committed,Pipeline,,folder,,19,,27736,2092360,120516,16882,Yes,,,,,,,,,,,,,,,,,0.5,0.5,0.5
4,Abu Dhabi,1089.62,Yes,"Tamouh Sectors RT1,RT2,RT3,RT5 &RT6",1099.0,Level 1,Q Properties,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed (2),Yes,2020,4997488,54626,24831,24831,0,3671635,174255,500705,354685,296208,0,0,,,,2024,,,,Partially Delivered,Committed,Pipeline,,folder,,40,,54573,3670154,176668,500705,Yes,,,,,,,,,,,,,,,,,0.8,0.8,0.8
5,Abu Dhabi,1097.34,Yes,Najmat Phase 3,1099.0,Level 1,Q Properties,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment (3),Yes,2022,1729203,25547,11610,11610,0,1451390,58400,7425,121674,90314,0,0,,,,2035,,,,Partially Delivered,Committed,Pipeline,,folder,,16,,25537,1451394,58391,7425,Yes,,,,,,,,,,,,,,,,,0.6,0.6,0.6
6,Abu Dhabi,1097.40,Yes,Najmat Phases 1 & 2,1099.0,Level 1,Q Properties,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment (3),Yes,2021,2889535,34344,15496,15428,68,2062875,314572,382576,124500,5012,0,0,,,,2035,,,,Partially Delivered,Committed,Pipeline,,folder,,28,,34333,2062872,310770,382575,Yes,,,,,,,,,,,,,,,,,0.6,0.6,0.6
7,Abu Dhabi,1089.65,Yes,Reem Hills,1099.0,Level 1,Q Properties,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment (1),Yes,2023,846805,10194,2273,1000,1273,770361,19000,0,0,57444,0,0,,,,2030,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,17,,10230,759146,19000,0,Yes,,,,,,,1,,,,,,,,,,,1,1
8,Abu Dhabi,1783.0,Yes,Makers District ,1099.0,Level 1,IMKAN,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Detailed: MinorAmendment,Yes,2020,714715,8482,3767,3767,0,553700,16888,64302,70000,9825,0,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,5,,8479,553699,16888,64302,Yes,,,,,,,1,,,,,,,,,,,1,1
9,Abu Dhabi,38988.0,Yes,Reem Hills - Phase 3,1099.0,Level 0,Reem Hills,AL REEM ISLAND,CBD-Mina- Reem-Maryah,1,Al Reem,Pre-Concept,No,NA,650612,10690,2943,2580,363,617452,19365,0,0,13795,0,0,,,,NA,,,,Not Approved / Lapsed,Future,Future,Yes,folder,,1,,2535,150810,0,0,No,,,,,,,,,,,,1,,,,,,1,1
10,Abu Dhabi,1170.0,Yes,Al Maryah IWMP,,Level 0,Mubadala,AL MARYAH ISLAND,CBD-Mina- Reem-Maryah,1,Al Maryah,Concept (2),Yes,2012,3520000,30780,,,,1534275,151591,1000576,407446,409937,0,16175,0,264700,145237,NA,,,,Partially Delivered,Planned,Pipeline,,folder,,24,,23993,1544441,368883,811359,No,,,,,,,,,,,,,,,,,0.42,0.42,0.42
