ZONE,District,labour_beds_2022,labour_beds_2040
1,AL SAADIYAT ISLAND,0,0
2,AL SAADIYAT ISLAND,0,0
3,AL SAADIYAT ISLAND,0,0
4,AL SAADIYAT ISLAND,0,0
5,AL SAADIYAT ISLAND,0,0
6,AL SAADIYAT ISLAND,0,0
7,AL SAADIYAT ISLAND,0,0
8,AL SAADIYAT ISLAND,0,0
9,AL SAADIYAT ISLAND,0,0
10,AL SAADIYAT ISLAND,0,0
11,AL SAADIYAT ISLAND,20000,20000
12,AL SAADIYAT ISLAND,0,0
13,AL SAADIYAT ISLAND,0,0
14,AL SAADIYAT ISLAND,0,0
15,AL SAADIYAT ISLAND,0,0
16,AL SAADIYAT ISLAND,0,0
17,AL SAADIYAT ISLAND,0,0
18,AL SAADIYAT ISLAND,0,0
19,AL SAADIYAT ISLAND,0,0
20,AL SAADIYAT ISLAND,0,0
21,AL SAADIYAT ISLAND,0,0
22,AL SAADIYAT ISLAND,0,0
23,AL SAADIYAT ISLAND,0,0
24,AL SAADIYAT ISLAND,0,0
25,AL SAADIYAT ISLAND,0,0
26,AL SAADIYAT ISLAND,0,0
27,AL SAADIYAT ISLAND,0,0
28,AL SAADIYAT ISLAND,0,0
29,AL SAADIYAT ISLAND,0,0
30,AL SAADIYAT ISLAND,0,0
31,AL SAADIYAT ISLAND,0,0
32,AL SAADIYAT ISLAND,0,0
33,AL SAADIYAT ISLAND,0,0
34,AL SAADIYAT ISLAND,0,0
35,AL SAADIYAT ISLAND,0,0
36,AL SAADIYAT ISLAND,0,0
37,AL SAADIYAT ISLAND,0,0
38,AL SAADIYAT ISLAND,0,0
39,AL SAADIYAT ISLAND,0,0
40,AL SAADIYAT ISLAND,0,0
41,AL SAADIYAT ISLAND,0,0
42,AL SAADIYAT ISLAND,0,0
43,AL SAADIYAT ISLAND,0,0
44,AL SAADIYAT ISLAND,0,0
45,AL SAADIYAT ISLAND,0,0
46,AL SAADIYAT ISLAND,0,0
47,AL SAADIYAT ISLAND,0,0
48,AL SAADIYAT ISLAND,0,0
49,AL SAADIYAT ISLAND,0,0
50,AL SAADIYAT ISLAND,0,0
51,AL SAADIYAT ISLAND,0,0
52,AL SAADIYAT ISLAND,0,0
53,AL SAADIYAT ISLAND,0,0
54,AL SAADIYAT ISLAND,0,0
55,AL SAADIYAT ISLAND,0,0
56,AL SAADIYAT ISLAND,0,0
57,AL SAADIYAT ISLAND,0,0
58,AL SAADIYAT ISLAND,0,0
59,AL SAADIYAT ISLAND,0,0
60,AL SAADIYAT ISLAND,0,0
61,AL SAADIYAT ISLAND,0,0
62,AL SAADIYAT ISLAND,0,0
63,AL SAADIYAT ISLAND,0,0
64,AL SAADIYAT ISLAND,0,0
65,AL SAADIYAT ISLAND,0,0
66,AL SAADIYAT ISLAND,0,0
67,AL SAADIYAT ISLAND,0,0
68,AL SAADIYAT ISLAND,0,0
69,AL SAADIYAT ISLAND,0,0
70,AL SAADIYAT ISLAND,0,0
71,AL SAADIYAT ISLAND,0,0
72,AL SAADIYAT ISLAND,0,0
73,AL SAADIYAT ISLAND,0,0
74,AL SAADIYAT ISLAND,0,0
75,AL SAADIYAT ISLAND,0,0
76,AL SAADIYAT ISLAND,0,0
77,AL SAADIYAT ISLAND,0,0
78,AL SAADIYAT ISLAND,0,0
79,AL SAADIYAT ISLAND,0,0
80,AL SAADIYAT ISLAND,0,0
81,AL SAADIYAT ISLAND,0,0
82,AL SAADIYAT ISLAND,0,0
83,AL SAADIYAT ISLAND,0,0
84,AL SAADIYAT ISLAND,0,0
85,AL SAADIYAT ISLAND,0,0
86,AL SAADIYAT ISLAND,0,0
87,AL SAADIYAT ISLAND,0,0
88,AL SAADIYAT ISLAND,0,0
89,AL SAADIYAT ISLAND,0,0
90,AL SAADIYAT ISLAND,0,0
91,AL SAADIYAT ISLAND,0,0
92,AL KHEERAN,0,0
93,UM YIFEENAH ISLAND,0,0
94,UM YIFEENAH ISLAND,0,0
95,BILRIMAID ISLAND,0,0
96,SAS AL NAKHL,0,0
97,SAS AL NAKHL,0,0
98,AL SAMMALIYYAH ISLAND,0,0
99,AL MARYAH ISLAND,0,0
100,AL MARYAH ISLAND,0,0
101,AL MARYAH ISLAND,0,0
102,AL MARYAH ISLAND,0,0
103,AL MARYAH ISLAND,0,0
104,AL MARYAH ISLAND,0,0
105,AL MARYAH ISLAND,0,0
106,AL MARYAH ISLAND,0,0
107,AL MARYAH ISLAND,0,0
108,AL MARYAH ISLAND,0,0
