Municipality,ProjectID,Include in Summary,Project Name,DistrictID,District,Regional_Subregional Centre_District,District Centre,Centre or Non Centre,Approved,Approval Year,Approved Completion Year,Notes,EH,Phasing_Note,Planning Status,Delivery Status,Status,Major,Total GFA,Residential Population,Residential (GFA),Residential % Committed,Residential - Villas Emiratis (Units),Residential - Villas Emiratis % Committed,Residential - Villas Non-Emiratis (Units),Residential - Villas Non-Emiratis % Committed,Residential - Apartments (Units),Residential - Apartments % Committed,Residential - Labour Accommodation (Units),Residential - Labour Accommodation % Committed,Retail (GFA),Retail % Committed,Office (GFA),Office % Committed,Industrial (GFA),Industrial % Committed,Hotel (GFA),Hotel % Committed,Community Facilities (GFA),Community Facilities % Committed,Healthcare (GFA),Healthcare % Committed,Education (GFA),Education % Committed,Other (GFA),Other % Committed,Demolish Existing Buildings or Not (Yes/No),2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Abu Dhabi,23037.4,No,Bloom District Phase 2,400,ZAYED CITY,ZAYED CITY,0,NonCentre,Yes,2024,2027,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 430,626 "," 7,898 ", -   , 1 ,0,0,152,1,0,100%,0,0%,"2,600",100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1238.0,Yes,Marasy,1300,AL BATEEN,AL BATEEN,0,NonCentre,Yes,2010,Completed,0,0,Completed,Completed,Completed,Committed,0," 62,590 ", 593 ," 1,783,137 ", 1 ,0,0,33,1,"2,005",100%,0,0%,"13,992",100%,"14,377",100%,0,100%,"52,786",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1113.2.1,Yes,IKEA,1330,YAS ISLAND,YAS ISLAND,0,NonCentre,Yes,2010,Completed,0,0,Completed,Completed,Completed,Committed,0," 62,657 ", -   ," 469,871 ", -   ,0,0,0,1,"1,975",100%,0,0%,"13,100",100%,0,100%,"101,836",100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,ABU MREIKHAH_2,Yes,ABU MREIKHAH_2,1311,ABU MREIKHAH,ABU MREIKHAH,0,NonCentre,No,NA,NA,National Housing,Yes,Not Approved / Lapsed,Future,Future,Future,EH,,, -   , 1 ,"4,608",1,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,?,?,"38,707",100%,"154,829",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Rabdan,Yes,Rabdan,,,,0,NonCentre,,,0,0,Yes,Future,Future,0,0,BH,,, TBD , 1 ,0,1,0,0,0,100%,0,0%,"128,169",50%,"184,853",60%,0,100%,"45,000",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,Mina Zayed,No,Mina Zayed Vision,1288,ZAYED PORT,ZAYED PORT,0,NonCentre,No,NA,NA,Preliminary Framework plan - Residential Focus may be tempered in future revisions,0,Not Approved / Lapsed,Future,Future,Future,No," 6,222,400 "," 118,800 "," 227,793 ", 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1527.1,Yes,Musafah Garden Residential Tower,38,MUSAFFAH,MUSAFFAH,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 69,268 ", NA , -   , -   ,0,0,"5,519",1,"1,720",100%,0,0%,"126,503",50%,0,100%,0,100%,0,100%,?,?,"55,664",100%,"222,658",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,2115.2.1,Yes,AD International Hotel AD Shooting Club,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2009,2020,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 40,065 ", -   ," 2,816,546 ", 1 ,0,0,0,1,"3,527",100%,0,0%,"100,000",100%,0,100%,0,100%,"24,070",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.45,Yes,Beach District MP,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,0,NonCentre,Yes,2022,2025,0,0,Partially Delivered,Committed,Pipeline,Committed,0," 1,483,353 "," 8,553 ", -   , 1 ,0,0,NA,1,NA,0%,0,0%,"100,000",0%,0,0%,0,0%,0,0%,?,?,0,0%,0,0%,0,0%,,,,,,,,,,,,,,,,,,
Abu Dhabi,13222.1,No,Musaffah - DMT MP ,38,MUSAFFAH,MUSAFFAH,Musaffah,Centre,TBD,NA,NA,"Urban Revitalization, Assumed 85 Sqm/ Unit",0,Not Approved / Lapsed,Future,Future,Future,No," 5,391,544 "," 114,000 "," 4,094,339 ", -   ,0,0,"1,410",1,TBD,0%,0,0%,TBD,0%,TBD,0%,TBD,0%,TBD,0%,?,?,"11,844",100%,"47,376",100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1007.42.4,Yes,Saadiyat Lagoons,1347,AL SAADIYAT ISLAND,AL SAADIYAT ISLAND,0,NonCentre,Yes,2024,2028,0,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 1,879,369 "," 20,359 "," 11,289 ", 1 ,0,0,0,1,0,100%,0,0%,"1,550",100%,"29,450",100%,0,100%,"156,340",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,10005.0,Yes,Al Wathba Desert Resort,1249,MSHAYRIF,MSHAYRIF,0,NonCentre,Yes,2015,2024,0,0,Completed,Completed,Completed,Committed,0," 21,000 ", NA ," 770,169 ", 1 ,0,0,0,0,"5,547",100%,0,0%,"3,670",100%,147,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,1115.1,Yes,Al Raha Gardens Attached Housing,26,KHALIFA CITY,KHALIFA CITY,0,NonCentre,Yes,2013,Completed,0,0,Completed,Completed,Completed,Committed,0," 64,693 ", 980 , -   , 1 ,0,0,465,1,"1,497",100%,0,0%,"27,401",100%,0,100%,0,100%,"37,834",100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,25087.0,Yes,MIZA Master Plan,1288,ZAYED PORT,ZAYED PORT,0,NonCentre,Yes,2023,2026,0,0,Partially Delivered,Planned,Pipeline,Committed,Yes," 248,987 "," 2,116 ", -   , 1 ,0,0,0,1,0,100%,0,0%,0,100%,0,100%,0,100%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
Abu Dhabi,5251.0,Yes,Ramhan Island development,34,RAMHAN ISLAND,RAMHAN ISLAND,0,NonCentre,Yes,2024,2026,Identify Phase 1 updates on Overall?,0,Approved but Not Delivered,Committed,Pipeline,Committed,0," 834,563 "," 13,301 ", -   , 1 ,0,0,0,1,0,100%,0,0%,"35,587",100%,"416,749",0%,"4,042,252",5%,0,100%,?,?,0,100%,0,100%,0,100%,,,,,,,,,,,,,,,,,,
