,ZONE,year,value,ProjectID
0,3132,2024,335.28000000000003,2100.0
1,982,2024,3215.83,2100.0
2,3098,2024,4014.94,2100.0
3,980,2024,9235.69,2100.0
4,947,2024,12889.09,2100.0
5,3111,2024,14666.59,2100.0
6,950,2024,21207.589999999997,2100.0
7,981,2024,28641.989999999998,2100.0
8,3122,2024,48767.99,2100.0
9,3155,2024,71423.98999999999,2100.0
10,243,2024,3978.0,1089.62
11,269,2024,6717.0,1089.62
12,231,2024,8699.0,1089.62
13,338,2024,48.81,1097.34
14,261,2024,322.01,1097.34
15,268,2024,4578.01,1097.34
16,304,2024,6007.51,1097.34
17,279,2024,8241.51,1097.34
18,257,2024,10197.51,1097.34
19,338,2025,48.81,1097.34
20,261,2025,322.01,1097.34
21,268,2025,4578.01,1097.34
22,304,2025,6007.51,1097.34
23,279,2025,8241.51,1097.34
24,257,2025,10197.51,1097.34
25,338,2026,48.81,1097.34
26,261,2026,322.01,1097.34
27,268,2026,4578.01,1097.34
28,304,2026,6007.51,1097.34
29,279,2026,8241.51,1097.34
30,257,2026,10197.51,1097.34
31,338,2027,48.81,1097.34
32,261,2027,322.01,1097.34
33,268,2027,4578.01,1097.34
34,304,2027,6007.51,1097.34
35,279,2027,8241.51,1097.34
36,257,2027,10197.51,1097.34
37,338,2028,48.81,1097.34
38,261,2028,322.01,1097.34
39,268,2028,4578.01,1097.34
40,304,2028,6007.51,1097.34
41,279,2028,8241.51,1097.34
42,257,2028,10197.51,1097.34
43,338,2029,48.81,1097.34
44,261,2029,322.01,1097.34
45,268,2029,4578.01,1097.34
46,304,2029,6007.51,1097.34
47,279,2029,8241.51,1097.34
48,257,2029,10197.51,1097.34
49,338,2030,48.81,1097.34
50,261,2030,322.01,1097.34
51,268,2030,4578.01,1097.34
52,304,2030,6007.51,1097.34
53,279,2030,8241.51,1097.34
54,257,2030,10197.51,1097.34
55,338,2031,48.81,1097.34
56,261,2031,322.01,1097.34
57,268,2031,4578.01,1097.34
58,304,2031,6007.51,1097.34
59,279,2031,8241.51,1097.34
60,257,2031,10197.51,1097.34
61,338,2032,48.81,1097.34
62,261,2032,322.01,1097.34
63,268,2032,4578.01,1097.34
64,304,2032,6007.51,1097.34
65,279,2032,8241.51,1097.34
66,257,2032,10197.51,1097.34
67,338,2033,48.81,1097.34
68,261,2033,322.01,1097.34
69,268,2033,4578.01,1097.34
70,304,2033,6007.51,1097.34
71,279,2033,8241.51,1097.34
72,257,2033,10197.51,1097.34
73,338,2034,48.81,1097.34
74,261,2034,322.01,1097.34
75,268,2034,4578.01,1097.34
76,304,2034,6007.51,1097.34
77,279,2034,8241.51,1097.34
78,257,2034,10197.51,1097.34
79,338,2035,48.81,1097.34
80,261,2035,322.01,1097.34
81,268,2035,4578.01,1097.34
82,304,2035,6007.51,1097.34
83,279,2035,8241.51,1097.34
84,257,2035,10197.51,1097.34
85,2347,2024,12010.000000000002,1113.6
86,2356,2024,91848.0,1113.6
87,2347,2025,12010.000000000002,1113.6
88,2356,2025,91848.0,1113.6
89,2347,2026,12010.000000000002,1113.6
90,2356,2026,91848.0,1113.6
91,2347,2027,12010.000000000002,1113.6
92,2356,2027,91848.0,1113.6
93,1078,2024,502.76,Riyadh
94,1080,2024,2444.0600000000004,Riyadh
95,1087,2024,6050.160000000001,Riyadh
96,1094,2024,9697.260000000002,Riyadh
97,1096,2024,12120.860000000002,Riyadh
98,1085,2024,14721.960000000003,Riyadh
99,1105,2024,18325.360000000004,Riyadh
100,1106,2024,19714.160000000003,Riyadh
101,1102,2024,23316.460000000003,Riyadh
102,1099,2024,26926.660000000003,Riyadh
103,1174,2024,31252.060000000005,Riyadh
104,1086,2024,38381.26000000001,Riyadh
105,1117,2024,41687.26000000001,Riyadh
106,1139,2024,44042.56000000001,Riyadh
107,1134,2024,61992.06000000001,Riyadh
108,1121,2024,79334.06000000001,Riyadh
109,1166,2024,84667.56000000001,Riyadh
110,1114,2024,93275.06000000001,Riyadh
111,1076,2024,125751.06000000001,Riyadh
112,1127,2024,143266.06,Riyadh
113,1141,2024,161227.56,Riyadh
114,1131,2024,181031.06,Riyadh
115,1112,2024,198810.56,Riyadh
116,1075,2024,200644.56,Riyadh
117,1081,2024,238222.56,Riyadh
118,1191,2024,238715.56,Riyadh
119,1251,2024,294282.56,Riyadh
120,1253,2024,317934.56,Riyadh
121,1225,2024,410003.56,Riyadh
122,1077,2024,412104.56,Riyadh
123,1146,2024,436414.56,Riyadh
124,1122,2024,457268.56,Riyadh
125,1218,2024,491392.56,Riyadh
126,1211,2024,509088.56,Riyadh
127,1160,2024,542635.56,Riyadh
128,1123,2024,569057.56,Riyadh
129,1129,2024,571562.56,Riyadh
130,1138,2024,623914.56,Riyadh
131,1169,2024,646023.56,Riyadh
132,1118,2024,675811.56,Riyadh
133,806,2024,6657.1500000000015,1996.0
134,806,2025,6657.1500000000015,1996.0
135,806,2026,6657.1500000000015,1996.0
136,806,2027,6657.1500000000015,1996.0
137,806,2028,6657.1500000000015,1996.0
138,806,2029,6657.1500000000015,1996.0
139,806,2030,6657.1500000000015,1996.0
140,806,2031,6657.1500000000015,1996.0
141,806,2032,6657.1500000000015,1996.0
142,806,2033,6657.1500000000015,1996.0
143,806,2034,6657.1500000000015,1996.0
144,806,2035,6657.1500000000015,1996.0
145,806,2036,6657.1500000000015,1996.0
146,806,2037,6657.1500000000015,1996.0
147,806,2038,6657.1500000000015,1996.0
148,806,2039,6657.1500000000015,1996.0
149,806,2040,6657.1500000000015,1996.0
150,802,2024,119029.5,1995.0
151,335,2024,64.00999999999999,1097.40
152,242,2024,337.36,1097.40
153,218,2024,606.56,1097.40
154,233,2024,2048.06,1097.40
155,335,2025,64.00999999999999,1097.40
156,242,2025,337.36,1097.40
157,218,2025,606.56,1097.40
158,233,2025,2048.06,1097.40
159,335,2026,64.00999999999999,1097.40
160,242,2026,337.36,1097.40
161,218,2026,606.56,1097.40
162,233,2026,2048.06,1097.40
163,335,2027,64.00999999999999,1097.40
164,242,2027,337.36,1097.40
165,218,2027,606.56,1097.40
166,233,2027,2048.06,1097.40
167,335,2028,64.00999999999999,1097.40
168,242,2028,337.36,1097.40
169,218,2028,606.56,1097.40
170,233,2028,2048.06,1097.40
171,335,2029,64.00999999999999,1097.40
172,242,2029,337.36,1097.40
173,218,2029,606.56,1097.40
174,233,2029,2048.06,1097.40
175,335,2030,64.00999999999999,1097.40
176,242,2030,337.36,1097.40
177,218,2030,606.56,1097.40
178,233,2030,2048.06,1097.40
179,335,2031,64.00999999999999,1097.40
180,242,2031,337.36,1097.40
181,218,2031,606.56,1097.40
182,233,2031,2048.06,1097.40
