,ProjectID,land_use,year,percent_development_pa,status,development_pa
0,Riyadh,Residential - Villas Emiratis (Units),2024,1.0,Under Construction,0.0
1,2100,Residential - Villas Emiratis (Units),2024,1.0,Under Construction,944300.0
2,5000,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
3,1996,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
4,1995,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
5,ICAD 1,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
6,1994,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
7,1001.8.1,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
8,1089.62,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
9,1997,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
10,1072,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
11,1170,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
12,1114,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
13,1146,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
14,1097.4,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
15,1042,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
16,1633,Residential - Villas Emiratis (Units),2024,1.0,Under Construction,0.0
17,25087,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
18,1097.34,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
19,1783,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
20,1007.45,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
21,1032,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
22,1113.3.3,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
23,1007.27,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
24,6029,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
25,6033,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
26,1089.56,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
27,1236,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
28,1086.3,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
29,1085,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
30,1740,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
31,2100.4,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
32,1235,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
33,1114.1,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
34,1113.8,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
35,2897,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
36,5365,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
37,1113.9,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
38,1119,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
39,12222,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
40,21227,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
41,1413,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
42,1113.27,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
43,24996,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
44,23168,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
45,1113.6,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
46,2115.2.1,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
47,Riyadh,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
48,2100,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
49,5000,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
50,1996,Residential - Villas Non-Emiratis (Units),2024,0.041176470588235294,Under Construction,0.0
51,1995,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
52,ICAD 1,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
53,1994,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,615600.0
54,1001.8.1,Residential - Villas Non-Emiratis (Units),2024,0.14285714285714285,Under Construction,0.0
55,1089.62,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,442700.0
56,1997,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
57,1072,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
58,1170,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
59,1114,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
60,1146,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
61,1097.4,Residential - Villas Non-Emiratis (Units),2024,0.08333333333333333,Under Construction,0.0
62,1042,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,132810.0
63,1633,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
64,25087,Residential - Villas Non-Emiratis (Units),2024,0.3333333333333333,Under Construction,0.0
65,1097.34,Residential - Villas Non-Emiratis (Units),2024,0.08333333333333333,Under Construction,15453.333333333332
66,1783,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
67,1007.45,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,0.0
68,1032,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
69,1113.3.3,Residential - Villas Non-Emiratis (Units),2024,0.1111111111111111,Under Construction,0.0
70,1007.27,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
71,6029,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
72,6033,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
73,1089.56,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
74,1236,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
75,1086.3,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
76,1085,Residential - Villas Non-Emiratis (Units),2024,0.14285714285714285,Under Construction,13137.142857142855
77,1740,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,20900.0
78,2100.4,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
79,1235,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,15200.0
80,1114.1,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,32300.0
81,1113.8,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,53200.0
82,2897,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
83,5365,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,27360.0
84,1113.9,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,59280.0
85,1119,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,135280.0
86,12222,Residential - Villas Non-Emiratis (Units),2024,0.045454545454545456,Under Construction,0.0
87,21227,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,163400.0
88,1413,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,256690.0
89,1113.27,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
90,24996,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,554040.0
91,23168,Residential - Villas Non-Emiratis (Units),2024,0.9,Under Construction,250344.0
92,1113.6,Residential - Villas Non-Emiratis (Units),2024,0.25,Under Construction,130530.0
93,2115.2.1,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
94,Riyadh,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
95,2100,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
96,5000,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
97,1996,Residential - Apartments (Units),2024,0.041176470588235294,Under Construction,0.0
98,1995,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
99,ICAD 1,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
100,1994,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
101,1001.8.1,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
102,1089.62,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
103,1997,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
104,1072,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
105,1170,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
