,ProjectID,land_use,year,percent_development_pa,status,development_pa
0,2100.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
1,5000.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
2,1996.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
3,1995.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
4,ICAD 1,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
5,1994.0,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
6,1001.8.1,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
7,1089.62,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
8,1997.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
9,1072.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
10,1170.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
11,1114.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
12,1146.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
13,1097.40,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
14,1042.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
15,1633.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
16,25087.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
17,1097.34,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,
18,1783.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
19,1007.45,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
20,1032.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
21,1113.3.3,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
22,1007.27,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
23,6029.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
24,6033.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
25,1089.56,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
26,1236.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
27,1086.3,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
28,1085.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
29,1740.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
30,2100.4,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
31,1235.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
32,1114.1,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
33,1113.8,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
34,2897.0,Residential - Villas Emiratis (Units),2024,0.0,Under Construction,0.0
35,5365.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
36,1113.9,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
37,1119.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
38,12222.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
39,21227.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
40,1413.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
41,1113.27,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
42,24996.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
43,23168.0,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
44,1113.6,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,0.0
45,2115.2.1,Residential - Villas Emiratis (Units),2024,0.5,Under Construction,inf
46,2100.0,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
