CROSSWALK,VARIABLE_1,VARIABLE_2,NOTES
TAZ to MP land use crosswalk,Residential (GFA),RES_GFA,
TAZ to MP land use crosswalk,Residential Labour (GFA),Residential_Labour_GFA,
TAZ to MP land use crosswalk,Office (GFA),OFFICE_GFA,
TAZ to MP land use crosswalk,Retail (GFA),RETAIL_GFA,
TAZ to MP land use crosswalk,Hotel (GFA),Hotel_GFA,
TAZ to MP land use crosswalk,Retail (GFA),Commercial_Recreation_GFA,
TAZ to MP land use crosswalk,Industrial (GFA),Industrial_GFA,
TAZ to MP land use crosswalk,Education (GFA),SCHOOL_GFA,
TAZ to MP land use crosswalk,Healthcare (GFA),MED_GFA,
TAZ to MP land use crosswalk,Community Facilities (GFA),RELIGIOUS_GFA,
TAZ to MP land use crosswalk,Community Facilities (GFA),GOV_INST_SOC_CULT_GFA,
TAZ to MP land use crosswalk,Community Facilities (GFA),OPENSPACE_RECREATION_GFA,
TAZ to MP land use crosswalk,Community Facilities (GFA),Community_Facilities_GFA,
TAZ to MP land use crosswalk,Other (GFA),AGRICULTURE_GFA,
TAZ to MP land use crosswalk,Other (GFA),OTHER_GFA,
TAZ to MP land use crosswalk,Other (GFA),ST_Other_GFA,
TAZ to MP land use crosswalk,Other (GFA),INFRASTRUCTURE_GFA,
MP to TMP 2040 Summary Land Use,Residential GFA,RES_GFA,
MP to TMP 2040 Summary Land Use,Retail GFA,RETAIL_GFA,
MP to TMP 2040 Summary Land Use,Office GFA,OFFICE_GFA,
MP to TMP 2040 Summary Land Use,Hotel GFA,HOTELROOMS,
MP to TMP 2040 Summary Land Use,Community Facilities GFA,OTHER_GFA,
MP to TMP 2040 Summary Land Use,Industrial GFA,IND_GFA,
MP to TMP 2040 Summary Land Use,Other GFA,OTHER_GFA,
MP to TMP 2040 Summary Land Use,Education GFA,MED_GFA,
MP to TMP 2040 Summary Land Use,Health Care GFA,SCHOOL_GFA,
TMP 2040 to Summary 2040 land uses,RES_GFA,RES_GFA,
TMP 2040 to Summary 2040 land uses,RETAIL_GFA,RETAIL_GFA,
TMP 2040 to Summary 2040 land uses,OFFICE_GFA,OFFICE_GFA,
TMP 2040 to Summary 2040 land uses,L_IND_GFA,IND_GFA,
TMP 2040 to Summary 2040 land uses,M_IND_GFA,IND_GFA,
TMP 2040 to Summary 2040 land uses,H_IND_GFA,IND_GFA,
TMP 2040 to Summary 2040 land uses,SCHOOL_GFA,SCHOOL_GFA,
TMP 2040 to Summary 2040 land uses,MED_GFA,MED_GFA,
TMP 2040 to Summary 2040 land uses,HOTELROOMS,HOTELROOMS,
TMP 2040 to Summary 2040 land uses,OTHER_GFA,OTHER_GFA,
